ID,Company,Title,Location,Salary,Status,URL
"1","HubSpot","Account Manager","Atlanta, GA","$75001 - $95001","external","https://careers.hubspot.com/jobs/1"
"2","Zoom","Client Success Manager","Austin, TX","$75002 - $95002","external","https://careers.zoom.com/jobs/2"
"3","Slack","Customer Success Specialist","Boston, MA","$75003 - $95003","external","https://careers.slack.com/jobs/3"
"4","Atlassian","Account Executive","Chicago, IL","$75004 - $95004","external","https://careers.atlassian.com/jobs/4"
"5","Zendesk","Sales Representative","Denver, CO","$75005 - $95005","submitted","https://careers.zendesk.com/jobs/5"
"6","ServiceNow","Business Development Representative","Los Angeles, CA","$75006 - $95006","external","https://careers.servicenow.com/jobs/6"
"7","Workday","Sales Development Representative","New York, NY","$75007 - $95007","external","https://careers.workday.com/jobs/7"
"8","Snowflake","Client Relationship Manager","San Francisco, CA","$75008 - $95008","external","https://careers.snowflake.com/jobs/8"
"9","Datadog","Customer Success Associate","Seattle, WA","$75009 - $95009","external","https://careers.datadog.com/jobs/9"
"10","MongoDB","Enterprise Customer Success Manager","Miami, FL","$75010 - $95010","submitted","https://careers.mongodb.com/jobs/10"
"11","Elastic","Senior Account Manager","Phoenix, AZ","$75011 - $95011","external","https://careers.elastic.com/jobs/11"
"12","Twilio","Strategic Account Manager","Portland, OR","$75012 - $95012","external","https://careers.twilio.com/jobs/12"
"13","SendGrid","Key Account Manager","San Diego, CA","$75013 - $95013","external","https://careers.sendgrid.com/jobs/13"
"14","Mailchimp","National Account Manager","Remote, US","$75014 - $95014","external","https://careers.mailchimp.com/jobs/14"
"15","DocuSign","Customer Success Manager","Atlanta, GA","$75015 - $95015","submitted","https://careers.docusign.com/jobs/15"
"16","Dropbox","Account Manager","Austin, TX","$75016 - $95016","external","https://careers.dropbox.com/jobs/16"
"17","Box","Client Success Manager","Boston, MA","$75017 - $95017","external","https://careers.box.com/jobs/17"
"18","Okta","Customer Success Specialist","Chicago, IL","$75018 - $95018","external","https://careers.okta.com/jobs/18"
"19","Auth0","Account Executive","Denver, CO","$75019 - $95019","external","https://careers.auth0.com/jobs/19"
"20","Cloudflare","Sales Representative","Los Angeles, CA","$75020 - $95020","submitted","https://careers.cloudflare.com/jobs/20"
